iter	Passed	Remaining
0	59	59562
1	59	29913
2	60	20005
3	60	15057
4	60	12092
5	61	10113
6	61	8701
7	61	7638
8	61	6810
9	62	6148
10	62	5610
11	62	5157
12	62	4775
13	63	4447
14	63	4162
15	63	3912
16	63	3692
17	64	3496
18	64	3322
19	64	3164
20	64	3022
21	65	2893
22	65	2774
23	65	2666
24	65	2567
25	66	2475
26	66	2390
27	66	2311
28	66	2237
29	67	2168
30	67	2103
31	67	2041
32	67	1985
33	67	1931
34	68	1881
35	68	1833
36	68	1788
37	68	1745
38	69	1705
39	69	1666
40	69	1629
41	69	1594
42	70	1561
43	70	1528
44	70	1497
45	70	1468
46	71	1440
47	71	1413
48	71	1387
49	71	1362
50	71	1339
51	72	1316
52	72	1294
53	72	1274
54	72	1254
55	73	1234
56	73	1215
57	73	1196
58	73	1178
59	74	1161
60	74	1145
61	74	1129
62	74	1113
63	75	1098
64	75	1083
65	75	1069
66	75	1055
67	75	1039
68	76	1026
69	76	1013
70	76	1001
71	76	989
72	76	977
73	77	965
74	77	954
75	77	943
76	77	933
77	78	923
78	78	913
79	78	903
80	78	893
81	78	884
82	79	875
83	79	865
84	79	856
85	79	847
86	79	838
87	80	830
88	80	822
89	80	814
90	80	807
91	81	799
92	81	792
93	81	785
94	81	778
95	81	771
96	82	765
97	82	758
98	82	752
99	82	746
100	83	740
101	83	733
102	83	727
103	83	721
104	83	715
105	84	710
106	84	704
107	84	698
108	84	693
109	85	688
110	85	683
111	85	678
112	85	673
113	85	668
114	86	663
115	86	658
116	86	653
117	86	649
118	87	644
119	87	639
120	87	635
121	87	630
122	87	625
123	87	621
124	88	617
125	88	613
126	88	609
127	88	604
128	88	600
129	89	596
130	89	593
131	89	589
132	89	585
133	90	582
134	90	578
135	90	574
136	90	571
137	90	567
138	91	564
139	91	561
140	91	557
141	91	554
142	91	551
143	92	547
144	92	545
145	92	542
146	92	538
147	93	536
148	93	533
149	93	530
150	93	527
151	93	524
152	94	521
153	94	518
154	94	515
155	94	513
156	95	510
157	95	507
158	95	505
159	95	502
160	95	500
161	96	497
162	96	495
163	96	492
164	96	490
165	97	487
166	97	485
167	97	483
168	97	480
169	97	478
170	98	476
171	98	473
172	98	471
173	98	469
174	99	466
175	99	464
176	99	462
177	99	460
178	99	458
179	100	455
180	100	453
181	100	451
182	100	449
183	100	447
184	101	445
185	101	443
186	101	441
187	101	439
188	102	437
189	102	436
190	102	434
191	102	432
192	102	430
193	103	428
194	103	426
195	103	425
196	103	423
197	104	421
198	104	419
199	104	418
200	104	416
201	105	414
202	105	413
203	105	411
204	105	409
205	105	408
206	106	406
207	106	404
208	106	403
209	106	401
210	106	399
211	107	398
212	107	396
213	107	395
214	107	393
215	108	392
216	108	390
217	108	389
218	108	387
219	108	386
220	109	384
221	109	383
222	109	381
223	109	380
224	110	379
225	110	377
226	110	376
227	110	374
228	110	373
229	111	372
230	111	370
231	111	369
232	111	368
233	112	366
234	112	365
235	112	364
236	112	362
237	112	361
238	113	360
239	113	358
240	113	357
241	113	356
242	113	355
243	114	353
244	114	352
245	114	351
246	114	350
247	115	348
248	115	347
249	115	346
250	115	345
251	115	344
252	116	342
253	116	341
254	116	340
255	116	339
256	116	338
257	117	337
258	117	335
259	117	334
260	117	333
261	118	332
262	118	331
263	118	330
264	118	329
265	118	328
266	119	327
267	119	326
268	119	325
269	119	324
270	120	323
271	120	322
272	120	321
273	120	319
274	120	318
275	121	317
276	121	317
277	121	316
278	121	315
279	122	314
280	122	313
281	122	312
282	122	311
283	122	310
284	123	309
285	123	308
286	123	307
287	123	306
288	124	305
289	124	304
290	124	303
291	124	302
292	124	301
293	125	300
294	125	299
295	125	298
296	125	297
297	125	296
298	126	295
299	126	294
300	126	294
301	126	293
302	127	292
303	127	291
304	127	290
305	127	289
306	127	288
307	128	287
308	128	287
309	128	286
310	128	285
311	129	284
312	129	283
313	129	282
314	129	282
315	129	281
316	130	280
317	130	279
318	130	279
319	130	278
320	131	277
321	131	276
322	131	275
323	131	275
324	132	274
325	132	273
326	132	272
327	132	271
328	132	271
329	133	270
330	133	269
331	133	268
332	133	268
333	134	267
334	134	266
335	134	265
336	134	265
337	134	264
338	135	263
339	135	262
340	135	262
341	135	261
342	136	260
343	136	259
344	136	259
345	136	258
346	136	257
347	137	257
348	137	256
349	137	255
350	137	254
351	138	254
352	138	253
353	138	252
354	138	252
355	138	251
356	139	250
357	139	249
358	139	249
359	139	248
360	140	247
361	140	247
362	140	246
363	140	245
364	140	245
365	141	244
366	141	243
367	141	243
368	141	242
369	142	241
370	142	241
371	142	240
372	142	239
373	142	239
374	143	238
375	143	237
376	143	237
377	143	236
378	144	235
379	144	235
380	144	234
381	144	234
382	144	233
383	145	232
384	145	232
385	145	231
386	145	230
387	145	230
388	146	229
389	146	228
390	146	228
391	146	227
392	146	227
393	147	226
394	147	225
395	147	225
396	147	224
397	148	223
398	148	223
399	148	222
400	148	222
401	148	221
402	149	221
403	149	220
404	149	219
405	149	219
406	150	218
407	150	218
408	150	217
409	150	216
410	151	216
411	151	215
412	151	215
413	151	214
414	151	214
415	152	213
416	152	212
417	152	212
418	152	211
419	152	211
